PID,SalePrice,Living Area Sqft,Lot Frontage,Bldg Type,Bedroom,Total Full Baths,MS Zoning,Street,Alley,Utilities
907227090,119900.0,864.0,60.0,1Fam,3,1.0,RL,Pave,,AllPub
527108010,320000.0,2462.0,134.0,1Fam,4,3.0,RL,Pave,,AllPub
534275170,151500.0,958.0,,1Fam,2,1.0,RL,Pave,,AllPub
528104050,385000.0,2084.0,114.0,1Fam,2,3.0,RL,Pave,,AllPub
533206070,193800.0,1565.0,32.0,TwnhsE,2,3.0,FV,Pave,Pave,AllPub
908102320,149900.0,1466.0,134.0,1Fam,3,1.0,RL,Pave,,AllPub
528174080,185850.0,1364.0,43.0,TwnhsE,2,3.0,RL,Pave,,AllPub
532377130,131400.0,1144.0,80.0,1Fam,3,2.0,RL,Pave,,AllPub
528102030,394617.0,1932.0,96.0,1Fam,2,3.0,RL,Pave,,AllPub
534127170,185750.0,1489.0,,1Fam,3,2.0,RL,Pave,,AllPub
528292080,287602.0,2322.0,,1Fam,4,3.0,RL,Pave,,AllPub
909251040,146500.0,1298.0,51.0,1Fam,2,2.0,RL,Pave,,AllPub
534429030,101800.0,1224.0,70.0,Duplex,2,2.0,RL,Pave,,AllPub
533208010,208900.0,1352.0,47.0,TwnhsE,2,2.0,FV,Pave,Pave,AllPub
534278150,140500.0,1187.0,,1Fam,2,2.0,RL,Pave,,AllPub
527451410,88000.0,1092.0,21.0,Twnhs,3,1.0,RM,Pave,,AllPub
533130020,190000.0,1923.0,107.0,1Fam,3,3.0,RL,Pave,,AllPub
528458040,229456.0,1314.0,72.0,1Fam,3,3.0,FV,Pave,,AllPub
909275110,238000.0,1718.0,60.0,1Fam,4,2.0,RL,Pave,,AllPub
528280100,199900.0,1886.0,,1Fam,4,2.0,RL,Pave,,AllPub
903458110,89500.0,1406.0,,1Fam,3,1.0,RM,Pave,Grvl,AllPub
908225310,98500.0,1195.0,52.0,Duplex,4,2.0,RL,Pave,,AllPub
904101170,134432.0,1588.0,80.0,1Fam,4,2.0,RL,Pave,,AllPub
535377070,68000.0,715.0,60.0,1Fam,2,1.0,RL,Pave,Grvl,AllPub
528102100,318000.0,1694.0,93.0,1Fam,3,2.0,RL,Pave,,AllPub
528456240,208300.0,1218.0,75.0,1Fam,2,2.0,FV,Pave,,AllPub
907135260,145000.0,990.0,57.0,1Fam,3,1.0,RL,Pave,,AllPub
535302130,137500.0,1152.0,102.0,1Fam,3,1.0,RL,Pave,,AllPub
904301060,179000.0,1200.0,60.0,Duplex,3,6.0,RL,Pave,,AllPub
908276140,100000.0,1204.0,62.0,1Fam,3,1.0,RL,Pave,,AllPub
527302090,213000.0,1664.0,93.0,1Fam,3,3.0,RL,Pave,,AllPub
527106050,165000.0,1470.0,65.0,1Fam,3,2.0,RL,Pave,,AllPub
903234100,129900.0,1774.0,51.0,1Fam,2,2.0,RM,Pave,,AllPub
527453160,143000.0,1456.0,24.0,TwnhsE,4,2.0,RL,Pave,,AllPub
528456220,210000.0,1590.0,75.0,1Fam,3,2.0,FV,Pave,,AllPub
909427200,158500.0,1152.0,80.0,1Fam,3,1.0,RL,Pave,,AllPub
908276230,119000.0,948.0,60.0,1Fam,3,2.0,RL,Pave,,AllPub
911102090,89000.0,1361.0,60.0,1Fam,2,1.0,C (all),Pave,,AllPub
527455240,100000.0,892.0,65.0,1Fam,3,1.0,RL,Pave,,AllPub
903233140,132000.0,854.0,51.0,1Fam,2,1.0,RM,Pave,,AllPub
535402330,200000.0,2634.0,91.0,Duplex,6,3.0,RL,Pave,,AllPub
528176010,500000.0,2696.0,110.0,1Fam,3,3.0,RL,Pave,,AllPub
905200220,139000.0,1092.0,,1Fam,3,1.0,RL,Pave,,AllPub
905351150,190000.0,1453.0,,1Fam,2,2.0,RL,Pave,,AllPub
923205015,166500.0,1344.0,,1Fam,3,2.0,RL,Pave,,AllPub
911370510,246000.0,1646.0,44.0,TwnhsE,2,3.0,RM,Pave,,AllPub
533213120,172900.0,1549.0,24.0,Twnhs,3,3.0,FV,Pave,Pave,AllPub
527158090,160000.0,1694.0,,1Fam,3,2.0,RL,Pave,,AllPub
528429120,423000.0,2097.0,49.0,1Fam,1,2.0,RL,Pave,,AllPub
535105160,98600.0,1235.0,85.0,1Fam,2,1.0,RL,Pave,,AllPub
534475185,149500.0,1505.0,128.0,1Fam,2,2.0,RL,Pave,,AllPub
903429010,127500.0,1609.0,63.0,1Fam,3,1.0,RM,Pave,,AllPub
905452050,113000.0,672.0,50.0,1Fam,2,2.0,RL,Pave,,AllPub
535126140,227000.0,1988.0,90.0,1Fam,4,2.0,RL,Pave,,AllPub
528435050,275500.0,1702.0,85.0,1Fam,3,3.0,RL,Pave,,AllPub
533253090,190000.0,1226.0,40.0,TwnhsE,1,2.0,RL,Pave,,AllPub
908152070,148000.0,1113.0,,1Fam,3,2.0,RL,Pave,,AllPub
